dataset,alpha,RR@10,nDCG@10,AP@100
SciFact,0.5,0.6503544973544974,0.6874114442903604,0.6443923998895946
SciFact,0.51,0.6508174603174601,0.6873628008648973,0.6446510782680299
SciFact,0.52,0.6514841269841269,0.6881498105540147,0.6451888903097893
SciFact,0.53,0.651626984126984,0.6882778685089425,0.6453365338933458
SciFact,0.54,0.6514695767195766,0.6881921112333848,0.645222146445051
SciFact,0.55,0.651414021164021,0.6878521415692208,0.6451739354901727
SciFact,0.56,0.6555449735449735,0.6913083834191608,0.6490785089413396
SciFact,0.57,0.6551005291005291,0.6898038972066792,0.6487985317911255
SciFact,0.58,0.654892857142857,0.6896022997199452,0.6485446165468923
SciFact,0.59,0.6533928571428571,0.688526216259549,0.6470270737934604
SciFact,0.6,0.6535965608465609,0.6887119641018773,0.6472233594732775
SciFact,0.61,0.6532949735449736,0.6878349857354649,0.6472940421877312
SciFact,0.62,0.6532949735449736,0.6875673883659588,0.6467279982629864
SciFact,0.63,0.6532949735449736,0.6875673883659588,0.6466910353797211
SciFact,0.64,0.6536547619047619,0.688888898080655,0.6467651961339614
SciFact,0.65,0.6519880952380952,0.687796950136049,0.6452791731850728
SciFact,0.66,0.6516283068783069,0.6875084597557409,0.6448841497849092
SciFact,0.67,0.6515171957671958,0.6874086875968434,0.6447677409382154
SciFact,0.68,0.6492116402116401,0.6856037765102798,0.6423880841303871
SciFact,0.69,0.6486190476190474,0.6845697757382075,0.6416006511981559
SciFact,0.7,0.6465634920634918,0.6822784430926553,0.6410754881788742
SciFact,0.71,0.6462936507936506,0.6820532947155523,0.6408056673321547
SciFact,0.72,0.6446785714285713,0.6808430711639766,0.6390587510438382
SciFact,0.73,0.6450119047619045,0.6818066205850362,0.6390818141339801
SciFact,0.74,0.6441230158730157,0.6807549357505328,0.6384064569487691
SciFact,0.75,0.6463452380952379,0.6823126104894032,0.6403931746574033
SciFact,0.76,0.6480119047619046,0.683542844644165,0.6420082917970885
SciFact,0.77,0.6466785714285712,0.6832761599104629,0.6403341659111486
SciFact,0.78,0.6464880952380951,0.6830977616641254,0.6400828754839869
SciFact,0.79,0.6462896825396823,0.683653317219681,0.6395701673267605
SciFact,0.8,0.6462671957671956,0.6836134386977073,0.6394909780260571
SciFact,0.81,0.6462473544973544,0.6835967540402836,0.6394542971264608
SciFact,0.82,0.6439880952380951,0.6814178293330531,0.6371285579023024
SciFact,0.83,0.6438214285714284,0.6812717501635902,0.6369447662765235
SciFact,0.84,0.6435753968253967,0.6810494248148783,0.6366655141420211
SciFact,0.85,0.6435714285714284,0.6817223345743573,0.6362863260137657
SciFact,0.86,0.645238095238095,0.6829362496049712,0.6378418787089799
SciFact,0.87,0.6446269841269838,0.6817244689473604,0.637511262465635
SciFact,0.88,0.6406587301587301,0.6793309226847913,0.634453096503329
SciFact,0.89,0.6389126984126983,0.6785507483965496,0.6335628250998486
SciFact,0.9,0.6383571428571427,0.6781143158846448,0.6330053138931883
SciFact,0.91,0.6383571428571427,0.6780987460066198,0.6328817431185871
SciFact,0.92,0.63690873015873,0.6770630700117092,0.6314271004993436
SciFact,0.93,0.6369140211640211,0.676427228850035,0.6313012130548447
SciFact,0.94,0.6367566137566136,0.6762769605125408,0.6311182267012292
SciFact,0.95,0.635871693121693,0.6756097361800193,0.6301947795677925
SciFact,0.96,0.6344034391534391,0.6745208069547921,0.628697259784726
SciFact,0.97,0.6345291005291006,0.6745914313168768,0.6287793977923521
SciFact,0.98,0.6341772486772487,0.6735168134010078,0.6285986537702286
SciFact,0.99,0.6329828042328042,0.6726031745530652,0.6273722913731341
